std_sample_name	cellosaurus_id	gse_id	organism	bio_rep	antibody_target	restriction_enzyme	sample_name
mESC_WT.GSE147919.Mus_Musculus.MboI.b2	Not Available	GSE147919	Mus_Musculus	2	RYBP	MboI	mESC_WT
mESC_WT.GSE99519.Mus_Musculus.MboI.b1	CVCL_C865	GSE99519	Mus_Musculus	1	H3K27ac	MboI	mESC_WT
mESC_WT.GSE99519.Mus_Musculus.MboI.b2	CVCL_C865	GSE99519	Mus_Musculus	2	H3K27ac	MboI	mESC_WT
mESC_WT.GSE99519.Mus_Musculus.MboI.b3	CVCL_C865	GSE99519	Mus_Musculus	3	H3K27ac	MboI	mESC_WT
Mesoderm_NoDox.GSE126362.Mus_Musculus.MboI.b1		GSE126362	Mus_Musculus	1	Pax3	MboI	Mesoderm_NoDox
MLL_AF9.GSE110898.Mus_Musculus.MboI.b1	Not Available	GSE110898	Mus_Musculus	1	H3K27ac	MboI	MLL_AF9
MLL_AF9_LSD1i.GSE110898.Mus_Musculus.MboI.b1	Not Available	GSE110898	Mus_Musculus	1	H3K27ac	MboI	MLL_AF9_LSD1i
mOPC_Ctrl.GSE166177.Mus_Musculus.MboI.b1		GSE166177	Mus_Musculus	1	H3K27ac	MboI	mOPC_Ctrl
mOPC_Ctrl.GSE166177.Mus_Musculus.MboI.b2		GSE166177	Mus_Musculus	2	H3K27ac	MboI	mOPC_Ctrl
mOPC_Ctrl.GSE166177.Mus_Musculus.MboI.b3		GSE166177	Mus_Musculus	3	H3K27ac	MboI	mOPC_Ctrl
mOPC_IFN.GSE166177.Mus_Musculus.MboI.b1		GSE166177	Mus_Musculus	1	H3K27ac	MboI	mOPC_IFN
mOPC_IFN.GSE166177.Mus_Musculus.MboI.b2		GSE166177	Mus_Musculus	2	H3K27ac	MboI	mOPC_IFN
mOPC_IFN.GSE166177.Mus_Musculus.MboI.b3		GSE166177	Mus_Musculus	3	H3K27ac	MboI	mOPC_IFN
Myogenic_Progenitors_D6.GSE126362.Mus_Musculus.MboI.b1		GSE126362	Mus_Musculus	1	Pax3	MboI	Myogenic_Progenitors_D6
Myogenic_Progenitors_D6.GSE126362.Mus_Musculus.MboI.b2		GSE126362	Mus_Musculus	2	Pax3	MboI	Myogenic_Progenitors_D6
NCC.GSE153884.Mus_Musculus.MboI.b1		GSE153884	Mus_Musculus	1	FGFR1	MboI	NCC
NCC.GSE153884.Mus_Musculus.MboI.b2		GSE153884	Mus_Musculus	2	FGFR1	MboI	NCC
NCC.GSE153884.Mus_Musculus.MboI.b1		GSE153884	Mus_Musculus	1	CTCF	MboI	NCC
NCC.GSE153884.Mus_Musculus.MboI.b2		GSE153884	Mus_Musculus	2	CTCF	MboI	NCC
NIH3T3.GSE135296.Mus_Musculus.MboI.b1	CVCL_0594	GSE135296	Mus_Musculus	1	H3K27ac	MboI	NIH3T3
NIH3T3.GSE135296.Mus_Musculus.MboI.b2	CVCL_0594	GSE135296	Mus_Musculus	2	H3K27ac	MboI	NIH3T3
NOD_CD4_CD8.GSE141847.Mus_Musculus.MboI.b1		GSE141847	Mus_Musculus	1	SMC1A	MboI	NOD_CD4_CD8
NOD_CD4_CD8.GSE141847.Mus_Musculus.MboI.b2		GSE141847	Mus_Musculus	2	SMC1A	MboI	NOD_CD4_CD8
NOD_CD4_CD8.GSE141847.Mus_Musculus.MboI.b1		GSE141847	Mus_Musculus	1	H3K27ac	MboI	NOD_CD4_CD8
NOD_CD4_CD8.GSE141847.Mus_Musculus.MboI.b2		GSE141847	Mus_Musculus	2	H3K27ac	MboI	NOD_CD4_CD8
OPC.GSE157666.Mus_Musculus.MboI.b1		GSE157666	Mus_Musculus	1	H3K27ac	MboI	OPC
OPC.GSE157666.Mus_Musculus.MboI.b2		GSE157666	Mus_Musculus	2	H3K27ac	MboI	OPC
OPC.GSE157666.Mus_Musculus.MboI.b3		GSE157666	Mus_Musculus	3	H3K27ac	MboI	OPC
P14_CD8.GSE192387.Mus_Musculus.MboI.b1		GSE192387	Mus_Musculus	1	BATF	MboI	P14_CD8
P14_CD8.GSE192387.Mus_Musculus.MboI.b1		GSE192387	Mus_Musculus	1	CTCF	MboI	P14_CD8
