TKO_24H.GSE113339.Mus_Musculus.H3K27ac.b1	TKO_24H.GSE113339.Mus_Musculus.H3K27ac.b2	TKO_24H.GSE113339.Mus_Musculus.H3K27ac
TKO_24H.GSE113339.Mus_Musculus.H3K27ac.b1	TKO_24H.GSE113339.Mus_Musculus.H3K27ac.b3	TKO_24H.GSE113339.Mus_Musculus.H3K27ac
TKO_24H.GSE113339.Mus_Musculus.H3K27ac.b2	TKO_24H.GSE113339.Mus_Musculus.H3K27ac.b3	TKO_24H.GSE113339.Mus_Musculus.H3K27ac
Tconv.GSE189442.Mus_Musculus.H3K27ac.b1	Tconv.GSE189442.Mus_Musculus.H3K27ac.b2	Tconv.GSE189442.Mus_Musculus.H3K27ac
Treg.GSE189442.Mus_Musculus.FoxP3.b1	Treg.GSE189442.Mus_Musculus.FoxP3.b2	Treg.GSE189442.Mus_Musculus.FoxP3
Treg.GSE189442.Mus_Musculus.H3K27ac.b1	Treg.GSE189442.Mus_Musculus.H3K27ac.b2	Treg.GSE189442.Mus_Musculus.H3K27ac
Treg.GSE189442.Mus_Musculus.YY1.b1	Treg.GSE189442.Mus_Musculus.YY1.b2	Treg.GSE189442.Mus_Musculus.YY1
Treg_KOGFP.GSE189442.Mus_Musculus.H3K27ac.b1	Treg_KOGFP.GSE189442.Mus_Musculus.H3K27ac.b2	Treg_KOGFP.GSE189442.Mus_Musculus.H3K27ac
Treg_MT.GSE112176.Mus_Musculus.H3K27ac.b1	Treg_MT.GSE112176.Mus_Musculus.H3K27ac.b2	Treg_MT.GSE112176.Mus_Musculus.H3K27ac
Treg_WT.GSE112176.Mus_Musculus.H3K27ac.b1	Treg_WT.GSE112176.Mus_Musculus.H3K27ac.b2	Treg_WT.GSE112176.Mus_Musculus.H3K27ac
Treg_WTGFP.GSE189442.Mus_Musculus.H3K27ac.b1	Treg_WTGFP.GSE189442.Mus_Musculus.H3K27ac.b2	Treg_WTGFP.GSE189442.Mus_Musculus.H3K27ac
dTAD_D1.GSE126362.Mus_Musculus.Lbd1.b1	dTAD_D1.GSE126362.Mus_Musculus.Lbd1.b2	dTAD_D1.GSE126362.Mus_Musculus.Lbd1
mES.GSE115524.Mus_Musculus.Oct4.b1	mES.GSE115524.Mus_Musculus.Oct4.b2	mES.GSE115524.Mus_Musculus.Oct4
mES.GSE80820.Mus_Musculus.Oct4.b1	mES.GSE80820.Mus_Musculus.Oct4.b2	mES.GSE80820.Mus_Musculus.Oct4
