CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD4_Naive_1831-RH-1
CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD8_Naive_1800-RH-1
CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD8_Naive_1800-RH-1
CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD8_Naive_1800-RH-1
CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD8_Naive_1814-RH-1
CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD8_Naive_1814-RH-1
CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD8_Naive_1814-RH-1
CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD8_Naive_1815-RH-1
CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD8_Naive_1815-RH-1
CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD8_Naive_1815-RH-1
CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD8_Naive_1816-RH-1
CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD8_Naive_1816-RH-1
CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD8_Naive_1816-RH-1
CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD8_Naive_1829-RH-1
CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD8_Naive_1829-RH-1
CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD8_Naive_1829-RH-1
CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD8_Naive_1831-RH-1
CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD8_Naive_1831-RH-1
CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD8_Naive_1831-RH-1
COLO320-DM.GSE159985.Homo_Sapiens.MboI.b1	CVCL_0219	GSE159985	Homo_Sapiens	1	H3K27ac	MboI	COLO320-DM
CORL279.GSE151001.Homo_Sapiens.MboI.b1	CVCL_1140	GSE151001	Homo_Sapiens	1	H3K27ac	MboI	CORL279
CORL88.GSE151001.Homo_Sapiens.MboI.b1	CVCL_1141	GSE151001	Homo_Sapiens	1	H3K27ac	MboI	CORL88
CTL.GSE117888.Homo_Sapiens.NlaIII.b1		GSE117888	Homo_Sapiens	1	H3K27ac	NlaIII	CTL
CTL.GSE117888.Homo_Sapiens.NlaIII.b2		GSE117888	Homo_Sapiens	2	H3K27ac	NlaIII	CTL
CUTLL1.GSE115896.Homo_Sapiens.MboI.b1	CVCL_4966	GSE115896	Homo_Sapiens	1	H3K27ac	MboI	CUTLL1
DCM_1.GSE165303.Homo_Sapiens.Arima.b1		GSE165303	Homo_Sapiens	1	H3K27ac	Arima	DCM_1
DCM_10.GSE165303.Homo_Sapiens.Arima.b1		GSE165303	Homo_Sapiens	1	H3K27ac	Arima	DCM_10
DCM_2.GSE165303.Homo_Sapiens.Arima.b1		GSE165303	Homo_Sapiens	1	H3K27ac	Arima	DCM_2
DCM_3.GSE165303.Homo_Sapiens.Arima.b1		GSE165303	Homo_Sapiens	1	H3K27ac	Arima	DCM_3
DCM_4.GSE165303.Homo_Sapiens.Arima.b1		GSE165303	Homo_Sapiens	1	H3K27ac	Arima	DCM_4
DCM_5.GSE165303.Homo_Sapiens.Arima.b1		GSE165303	Homo_Sapiens	1	H3K27ac	Arima	DCM_5
DCM_6.GSE165303.Homo_Sapiens.Arima.b1		GSE165303	Homo_Sapiens	1	H3K27ac	Arima	DCM_6
DCM_7.GSE165303.Homo_Sapiens.Arima.b1		GSE165303	Homo_Sapiens	1	H3K27ac	Arima	DCM_7
DCM_8.GSE165303.Homo_Sapiens.Arima.b1		GSE165303	Homo_Sapiens	1	H3K27ac	Arima	DCM_8
DCM_9.GSE165303.Homo_Sapiens.Arima.b1		GSE165303	Homo_Sapiens	1	H3K27ac	Arima	DCM_9
